Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played,won
Wesley Johnson,23,Guard,MIN,79.0,63,26.2,9.0,0.397,0.4270000000000001,0.35600000000000004,0.696,0.6,2.4,3.0,1.9,0.7,0.7,1.2,2.1,2011,0
Chris Kaman,28,Center,LAC,32.0,15,26.2,12.4,0.471,0.471,0.0,0.754,1.6,5.4,7.0,1.4,0.5,1.5,1.8,2.3,2011,0
Andrei Kirilenko,29,Forward,UTA,64.0,62,31.2,11.7,0.467,0.489,0.3670000000000001,0.77,1.6,3.5,5.1,3.0,1.3,1.2,1.8,1.8,2011,0
Linas Kleiza,26,Forward,TOR,39.0,23,26.5,11.2,0.438,0.505,0.298,0.631,0.9,3.6,4.5,1.0,0.5,0.2,1.7,2.5,2011,0
Carl Landry,27,Forward,TOT,76.0,26,26.4,11.9,0.502,0.505,0.0,0.74,2.2,2.4,4.6,0.8,0.5,0.4,1.4,2.6,2011,0
Ty Lawson,23,Guard,DEN,80.0,31,26.3,11.7,0.503,0.536,0.404,0.764,0.8,1.8,2.6,4.7,1.0,0.1,1.7,1.7,2011,0
David Lee,27,Forward,GSW,73.0,73,36.1,16.5,0.507,0.508,0.333,0.787,3.0,6.8,9.8,3.2,1.0,0.4,2.3,2.9,2011,0
Rashard Lewis,31,Forward,TOT,57.0,52,32.0,11.7,0.433,0.488,0.35700000000000004,0.802,1.2,3.8,5.1,1.6,0.9,0.5,1.5,2.8,2011,0
Brook Lopez,22,Center,BRK,82.0,82,35.2,20.4,0.4920000000000001,0.4920000000000001,0.0,0.787,2.4,3.5,6.0,1.6,0.6,1.5,2.1,2.9,2011,0
Kevin Love,22,Forward,MIN,73.0,73,35.8,20.2,0.47,0.483,0.417,0.85,4.5,10.7,15.2,2.5,0.6,0.4,2.1,2.0,2011,0
Kyle Lowry,24,Guard,HOU,75.0,71,34.2,13.5,0.426,0.464,0.376,0.765,1.2,2.9,4.1,6.7,1.4,0.3,2.1,2.8,2011,0
Corey Maggette,31,Forward,MIL,67.0,18,20.9,12.0,0.453,0.468,0.359,0.8340000000000001,0.7,2.9,3.6,1.3,0.3,0.1,1.9,2.6,2011,0
Shawn Marion,32,Forward,DAL,80.0,27,28.2,12.5,0.52,0.536,0.152,0.768,2.1,4.8,6.9,1.4,0.9,0.6,1.6,1.8,2011,0
