Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Tyler Johnson,27,PG-SG,TOT,39,7,18.2,7.0,.388,.450,.319,.840,0.5,1.5,1.9,1.9,0.4,0.2,0.7,1.5,2020
Nikola Jokić,24,C,DEN,73,73,32.0,19.9,.528,.594,.314,.817,2.3,7.5,9.7,7.0,1.2,0.6,3.1,3.0,2020
Damian Jones,24,C,ATL,55,27,16.1,5.6,.680,.704,.222,.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,2020
Derrick Jones Jr.,22,SF,MIA,59,16,23.3,8.5,.527,.677,.280,.772,1.1,2.8,3.9,1.1,1.0,0.6,0.5,2.2,2020
Tyus Jones,23,PG,MEM,65,6,19.0,7.4,.459,.492,.379,.741,0.1,1.4,1.6,4.4,0.9,0.1,0.8,0.7,2020
DeAndre Jordan,31,C,BRK,56,6,22.0,8.3,.666,.666,,.680,2.5,7.5,10.0,1.9,0.3,0.9,1.3,2.0,2020
Cory Joseph,28,PG,SAC,72,26,24.4,6.4,.415,.455,.352,.857,0.6,2.0,2.6,3.5,0.7,0.3,1.1,1.8,2020
Mfiondu Kabengele,22,C,LAC,12,0,5.3,3.5,.438,.417,.450,1.000,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,2020
Frank Kaminsky,26,C,PHO,39,13,19.9,9.7,.450,.530,.331,.678,0.9,3.6,4.5,1.9,0.4,0.3,0.9,1.9,2020
Luke Kennard,23,SG,DET,28,25,32.9,15.8,.442,.491,.399,.893,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,2020
Stanton Kidd,27,SG,UTA,4,0,3.8,0.0,.000,.000,.000,,0.0,0.8,0.8,0.3,0.0,0.0,0.5,0.8,2020
Michael Kidd-Gilchrist,26,PF,TOT,25,0,11.2,2.4,.333,.370,.250,.786,0.6,2.1,2.7,0.6,0.1,0.2,0.6,1.5,2020
Louis King,20,SF,DET,10,0,6.2,2.0,.381,.400,.364,.000,0.1,0.9,1.0,0.5,0.2,0.0,0.2,1.0,2020
Maxi Kleber,28,PF,DAL,74,21,25.5,9.1,.461,.605,.373,.849,1.5,3.7,5.2,1.2,0.3,1.1,0.8,2.4,2020
Brandon Knight,28,SG-PG,TOT,25,3,18.5,7.3,.353,.389,.344,.588,0.2,1.5,1.6,2.8,0.4,0.1,1.5,1.6,2020
Kevin Knox,20,SF,NYK,65,4,17.9,6.4,.359,.391,.327,.653,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,2020
John Konchar,23,SG,MEM,19,0,9.5,2.8,.649,.704,.500,.500,0.9,1.5,2.5,1.2,0.4,0.2,0.4,0.4,2020
Furkan Korkmaz,22,SG,PHI,72,12,21.7,9.8,.430,.478,.402,.755,0.3,2.1,2.3,1.1,0.6,0.2,0.8,1.4,2020
Luke Kornet,24,C,CHI,36,14,15.5,6.0,.439,.646,.287,.714,0.6,1.7,2.3,0.9,0.3,0.7,0.4,1.5,2020
Kyle Korver,38,SF,MIL,58,1,16.6,6.7,.430,.482,.418,.854,0.3,1.8,2.1,1.2,0.4,0.2,0.8,1.3,2020
Rodions Kurucs,21,PF,BRK,47,9,14.6,4.6,.446,.529,.367,.632,0.5,2.4,2.9,1.1,0.5,0.1,1.0,1.9,2020
Kyle Kuzma,24,PF,LAL,61,9,25.0,12.8,.436,.518,.316,.735,0.9,3.6,4.5,1.3,0.5,0.4,1.5,2.1,2020
Skal Labissière,23,C,POR,33,1,17.2,5.8,.551,.582,.231,.758,2.0,3.2,5.1,1.3,0.2,0.9,0.9,2.7,2020
Jeremy Lamb,27,SG,IND,46,42,28.1,12.5,.451,.508,.335,.836,0.5,3.8,4.3,2.1,1.2,0.5,1.1,2.3,2020
Romeo Langford,20,SG,BOS,32,2,11.6,2.5,.350,.434,.185,.720,0.5,0.8,1.3,0.4,0.3,0.3,0.3,1.0,2020
Zach LaVine,24,SF,CHI,60,60,34.8,25.5,.450,.497,.380,.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,2020
Vic Law,24,PF,ORL,8,0,7.8,1.9,.333,.455,.143,.333,0.3,1.1,1.4,0.4,0.3,0.0,0.3,0.8,2020
Jake Layman,25,SF,MIN,23,2,22.0,9.1,.453,.533,.333,.750,0.7,1.7,2.5,0.7,0.7,0.4,1.0,2.0,2020
T.J. Leaf,22,PF,IND,28,1,7.9,3.0,.419,.456,.278,.438,0.8,1.7,2.5,0.3,0.4,0.1,0.3,0.8,2020
Jalen Lecque,19,SG,PHO,5,0,6.4,2.0,.400,.667,.000,1.000,0.0,0.4,0.4,0.4,0.0,0.0,0.4,0.6,2020
Courtney Lee,34,SG,DAL,24,9,14.4,4.5,.488,.543,.447,.857,0.3,1.0,1.3,0.5,0.8,0.3,0.5,1.4,2020
Damion Lee,27,SG,GSW,49,36,29.0,12.7,.417,.471,.356,.873,0.7,4.2,4.9,2.7,1.0,0.1,1.4,2.4,2020
Alex Len,26,C,TOT,55,12,17.6,8.0,.555,.619,.271,.648,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,2020
Kawhi Leonard,28,SF,LAC,57,57,32.4,27.1,.470,.506,.378,.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,2020
Meyers Leonard,27,C,MIA,51,49,20.3,6.1,.509,.623,.414,.643,0.6,4.5,5.1,1.1,0.3,0.3,0.8,2.1,2020
Caris LeVert,25,SG,BRK,45,31,29.6,18.7,.425,.451,.364,.711,1.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,2020
Damian Lillard,29,PG,POR,66,66,37.5,30.0,.463,.524,.401,.888,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7,2020
Nassir Little,19,PF,POR,48,5,11.9,3.6,.430,.554,.237,.636,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,2020
Kevon Looney,23,C,GSW,20,4,13.1,3.4,.367,.431,.071,.750,1.4,1.9,3.3,1.0,0.6,0.3,0.6,1.7,2020
